cgpa,backlogs,internships,projects,certifications,aptitude_score,communication_score,coding_skill,placed,salary_lpa
7.51,2,0,4,1,86,66,64,1,11.84
5.15,2,4,4,4,72,69,75,1,12.48
6.22,4,1,4,1,71,53,90,0,0.0
6.95,2,3,7,6,77,92,95,1,13.13
6.29,4,1,6,2,92,92,73,1,11.95
7.81,0,3,2,5,91,50,42,1,12.07
8.9,2,0,3,2,46,61,77,1,11.05
6.2,1,0,5,5,76,56,81,1,12.36
6.49,1,3,3,3,63,96,43,1,11.11
7.4,3,3,3,0,88,43,89,1,13.86
8.57,4,0,2,1,70,52,52,0,0.0
6.16,2,1,2,4,100,59,94,0,0.0
7.41,1,1,6,1,66,74,73,0,0.0
8.75,0,1,6,1,81,55,59,1,11.4
5.8,0,0,6,3,46,72,43,0,0.0
6.11,0,3,3,1,96,85,41,1,11.86
6.84,0,0,1,0,49,90,85,0,0.0
6.76,0,2,2,4,63,46,63,1,11.33
7.89,0,0,3,4,91,48,91,1,12.09
7.41,2,0,4,5,99,45,54,1,11.16
5.69,0,2,7,6,69,95,96,1,13.88
7.64,4,0,7,0,69,79,97,1,11.73
6.71,1,2,1,2,42,72,46,1,9.64
8.28,0,0,5,1,99,88,79,1,12.25
6.67,0,3,3,6,41,75,97,1,13.59
6.66,0,2,2,3,41,54,59,0,0.0
7.66,4,3,4,0,68,71,44,0,0.0
7.85,0,0,1,4,40,82,93,0,0.0
7.58,1,0,3,0,50,42,68,0,0.0
5.77,4,1,4,1,78,76,41,0,0.0
7.66,4,1,2,5,83,70,91,0,0.0
6.32,0,0,5,3,58,44,81,1,10.8
7.4,0,0,4,5,88,56,44,1,11.91
5.99,0,1,6,3,77,67,55,1,11.37
7.58,0,0,2,5,53,60,41,0,0.0
6.51,0,1,1,3,83,57,98,1,12.56
6.11,1,0,4,0,76,79,41,1,9.04
7.81,3,0,2,0,89,64,88,0,0.0
7.41,1,1,5,5,49,70,71,0,0.0
6.68,1,1,1,0,54,88,75,0,0.0
8.43,0,1,5,2,58,45,89,0,0.0
6.83,2,1,7,0,60,61,94,1,11.35
7.23,1,2,1,2,94,44,47,1,11.69
7.43,3,1,3,4,84,96,41,1,9.05
6.67,4,1,6,1,73,51,47,0,0.0
7.6,0,4,4,3,72,90,81,1,13.86
6.75,0,1,2,6,94,51,74,1,13.07
6.85,0,3,2,0,67,59,45,1,10.82
8.36,0,2,6,0,53,77,54,1,11.93
6.32,4,0,7,1,48,90,72,0,0.0
5.15,0,1,3,5,60,50,84,0,0.0
8.57,2,2,4,2,79,53,60,1,12.63
9.37,1,4,6,4,68,93,97,1,14.3
6.86,0,1,2,0,65,59,100,1,12.63
5.55,0,0,2,5,69,52,86,0,0.0
6.94,1,1,6,0,99,85,67,0,0.0
6.96,1,0,2,4,100,45,93,1,12.35
7.04,0,2,6,1,49,92,84,1,12.91
6.25,0,1,4,6,46,93,71,1,11.54
7.69,2,2,7,2,54,92,67,1,12.61
7.65,0,3,1,1,91,58,90,1,11.87
5.93,4,1,7,2,68,46,73,0,0.0
7.79,0,1,2,0,92,65,51,1,10.6
8.94,0,2,1,1,79,60,100,1,13.66
7.35,1,3,6,4,73,98,44,1,12.4
6.91,1,3,4,2,57,78,82,0,0.0
7.08,1,0,6,2,60,97,80,1,12.21
7.72,0,1,1,5,49,85,75,1,12.44
5.73,5,0,1,0,71,83,43,0,0.0
7.34,1,3,4,2,57,46,70,1,12.27
6.87,1,2,7,1,57,44,94,1,12.02
8.77,0,1,3,3,42,42,54,1,11.42
7.05,0,0,6,2,88,76,82,1,12.52
8.62,1,0,7,0,97,52,92,1,10.86
6.26,0,2,7,0,70,100,98,1,14.67
7.7,1,0,4,5,72,48,71,0,0.0
7.47,0,0,5,0,96,97,59,1,11.0
6.46,5,3,4,5,71,80,82,1,12.59
7.35,1,2,5,6,77,46,69,1,12.39
8.23,3,0,4,3,66,43,78,1,11.28
6.92,1,0,4,2,71,64,85,1,10.88
5.76,0,4,4,5,71,60,83,1,14.17
7.19,2,2,5,6,83,59,54,0,0.0
6.43,1,1,6,0,76,72,86,1,11.77
6.91,2,0,7,6,70,47,73,1,12.43
7.13,0,0,5,6,44,47,96,0,0.0
5.75,1,0,1,0,95,82,80,0,0.0
5.83,3,2,5,0,94,100,94,0,0.0
7.61,1,0,3,5,51,56,99,1,13.88
6.76,0,0,1,0,57,96,100,0,0.0
5.02,1,2,1,4,99,61,85,1,11.14
7.87,1,3,5,0,59,60,76,1,12.77
7.43,4,2,7,4,89,45,47,1,12.24
6.59,0,1,4,1,87,65,63,1,10.78
6.08,0,1,4,0,92,70,68,1,10.83
7.91,2,1,1,0,40,80,87,0,0.0
7.5,1,0,5,1,69,49,75,1,10.42
9.23,2,1,1,3,74,51,66,1,11.36
7.56,0,1,6,0,91,66,48,1,11.64
7.53,0,1,6,5,53,44,83,1,14.13
7.06,2,3,7,4,58,48,66,0,0.0
7.89,0,4,2,2,50,78,42,1,11.05
7.73,0,0,2,6,86,98,57,1,10.94
8.26,1,1,3,4,100,74,93,1,14.44
6.76,2,0,6,4,48,48,47,1,10.53
6.83,3,1,2,1,54,100,64,0,0.0
6.79,0,0,7,4,58,71,71,0,0.0
7.87,0,0,2,3,94,83,45,1,11.79
8.47,4,2,1,6,67,52,50,1,9.94
6.81,0,1,2,3,57,75,97,1,12.15
6.84,0,3,6,4,59,44,76,1,14.7
7.47,0,0,5,2,76,78,52,1,11.24
6.99,1,0,3,0,63,52,50,0,0.0
8.01,3,1,5,0,48,95,65,1,10.85
5.29,2,0,5,6,90,43,84,0,0.0
6.5,2,0,4,5,65,79,84,1,9.79
6.53,0,4,4,2,55,48,51,1,12.19
5.23,0,0,1,4,84,81,84,0,0.0
6.38,1,0,2,0,85,70,94,0,0.0
6.42,0,1,4,0,49,99,53,0,0.0
7.03,0,1,1,3,44,79,41,1,8.89
8.15,0,1,4,4,42,62,98,1,12.9
6.99,0,1,1,6,86,45,71,1,11.32
6.32,1,2,6,5,78,76,87,1,11.95
7.15,2,0,1,1,88,66,59,0,0.0
8.09,0,1,1,5,78,43,58,0,0.0
6.37,1,2,5,3,64,75,53,1,11.29
6.43,2,3,2,5,75,52,53,0,0.0
7.67,2,1,3,1,84,54,68,1,11.73
7.01,2,1,3,0,64,40,46,0,0.0
7.75,0,0,2,0,95,62,91,0,0.0
7.19,2,0,6,6,94,53,71,1,11.67
7.8,0,0,5,0,88,44,95,1,13.11
6.32,0,2,2,6,100,66,70,1,12.43
7.19,0,0,5,5,63,53,58,0,0.0
7.02,1,2,5,1,46,48,71,1,10.35
6.17,0,0,4,6,69,68,49,1,10.4
5.87,0,3,5,1,85,43,90,0,0.0
7.78,2,2,7,1,87,100,83,1,11.63
6.9,0,0,4,4,63,68,48,0,0.0
6.33,0,0,3,2,57,100,75,1,11.13
7.12,0,0,4,2,67,93,72,1,13.09
8.16,0,3,6,1,89,99,52,1,12.9
5.26,0,0,5,4,43,73,47,0,0.0
5.93,0,1,1,0,60,65,86,0,0.0
6.42,0,1,4,1,54,83,56,1,10.43
8.44,2,2,6,3,89,44,71,1,13.28
7.44,4,1,2,3,68,91,55,0,0.0
7.85,1,1,7,4,45,59,79,1,12.33
6.23,1,4,6,1,55,40,42,1,9.6
6.25,3,0,6,4,42,54,61,0,0.0
7.58,5,2,1,5,69,54,73,1,9.9
7.25,1,0,5,2,100,40,66,0,0.0
7.67,3,1,4,1,74,80,77,1,10.06
7.04,3,3,5,3,93,45,51,1,11.06
7.44,2,2,6,4,85,91,66,1,12.15
7.33,1,2,3,0,93,67,86,1,12.39
7.86,0,0,4,3,58,83,60,1,11.57
7.89,0,1,5,1,98,60,49,1,13.06
5.82,1,1,6,3,54,48,91,1,11.95
5.29,1,1,6,6,66,51,87,1,12.21
8.05,0,1,3,3,81,79,81,1,13.82
8.21,1,0,7,5,57,83,88,1,13.32
6.33,1,0,1,2,56,56,87,1,10.03
5.62,2,0,4,6,47,61,85,0,0.0
7.28,0,1,5,5,40,97,71,1,12.59
7.99,0,0,1,6,70,91,41,1,11.09
8.73,2,3,4,5,100,65,76,1,12.89
7.64,2,1,5,4,53,54,56,1,10.28
6.88,5,0,5,3,66,58,87,0,0.0
6.44,3,2,1,6,97,72,68,0,0.0
7.21,3,3,2,5,87,74,95,1,12.66
6.95,0,0,2,2,40,51,76,0,0.0
6.34,0,0,5,0,70,44,73,0,0.0
8.94,0,0,3,0,48,70,96,1,13.33
8.72,1,0,5,1,55,88,68,1,12.51
8.17,4,2,6,0,55,49,62,0,0.0
6.42,0,4,6,1,77,64,62,1,13.01
7.93,1,0,2,0,52,49,93,1,10.74
7.74,0,2,7,6,55,54,86,1,12.61
7.58,0,0,2,0,53,77,49,0,0.0
8.26,0,1,1,4,61,57,70,1,12.84
7.74,0,2,1,2,80,56,62,1,12.13
7.83,4,1,2,1,64,100,79,0,0.0
7.74,0,0,7,4,59,50,43,1,11.41
7.49,2,1,2,6,71,51,83,0,0.0
5.68,1,4,5,5,77,96,85,0,0.0
7.27,0,0,3,6,40,73,53,1,10.44
6.73,0,0,1,4,94,42,49,0,0.0
6.11,2,0,4,4,95,65,78,1,11.62
8.63,0,1,1,1,76,74,55,1,11.1
8.67,3,1,4,5,75,55,97,1,12.5
8.36,0,2,4,5,82,73,87,1,15.02
7.42,1,2,4,1,66,79,98,1,13.58
8.35,2,3,2,2,62,55,72,1,13.0
7.21,0,2,6,4,61,89,97,1,13.29
7.37,0,0,5,0,49,67,40,1,9.83
6.27,4,1,2,5,91,98,57,0,0.0
7.54,0,0,4,1,59,45,40,1,10.67
7.25,0,0,1,0,57,59,81,1,11.74
6.09,0,3,7,2,98,83,71,1,13.27
7.16,0,2,6,5,70,94,57,1,13.89
7.13,2,4,3,1,77,53,58,1,12.34
8.73,2,1,5,3,54,99,79,0,0.0
7.96,0,1,5,5,56,51,50,0,0.0
7.21,2,1,5,0,84,65,71,1,12.51
7.41,0,0,1,5,67,59,77,1,12.82
7.24,0,0,7,2,49,65,54,1,11.81
7.03,1,1,7,4,90,95,53,1,11.84
6.28,5,0,7,1,64,84,61,0,0.0
7.07,0,3,7,0,80,88,76,1,13.68
6.57,0,0,7,5,60,55,55,1,12.33
6.14,1,0,6,5,74,97,63,1,11.1
7.63,2,2,1,6,87,66,73,1,12.34
7.53,0,0,4,4,93,79,51,1,11.47
5.68,0,3,2,3,52,82,74,1,10.88
7.1,2,2,2,1,81,80,48,1,10.15
8.05,0,0,6,2,95,76,48,1,11.96
8.1,0,2,6,4,79,69,54,1,14.25
8.07,0,1,4,2,48,79,57,1,11.21
7.23,0,2,6,3,51,95,41,1,11.35
